sample_name,micro_sat,size_1,size_2,height_1,height_2,binned_size_1,binned_size_2
17049,Cvanu7,331.6,344.19,4800.0,1304.0,334.182,346.545
17049,D106,299.01,299.01,17999.0,,301.871,301.871
17049,D107,127.72,268.33,2095.0,835.0,129.22,268.0
17049,D111,150.09,150.09,3340.0,,153.053,153.053
17049,MS1,216.82,216.82,29372.0,,220.143,220.143
17049,MS6,174.1,174.1,18507.0,,176.0,176.0
17049,MS7,290.07,290.07,23813.0,,292.095,292.095
17049,MS8,109.04,114.18,20599.0,15816.0,111.75,114.5
17050,A105,197.16,255.85,47.0,144.0,199.95,256.0
17050,Ai5013,220.25,227.57,5466.0,6109.0,220.333,229.5
17050,Ai5043,175.78,175.78,5110.0,,179.0,179.0
17050,Cvanu24,199.82,199.82,19165.0,,200.2,200.2
17050,Cvanu7,344.15,344.15,1045.0,,346.545,346.545
17050,D106,274.69,294.85,3225.0,2958.0,277.986,295.9
17050,D107,127.73,268.31,849.0,248.0,129.22,268.0
17050,D111,150.19,150.19,2772.0,,153.053,153.053
17050,MS1,216.74,216.74,19193.0,,220.143,220.143
17050,MS6,174.12,174.12,13779.0,,176.0,176.0
17050,MS7,290.05,290.05,9887.0,,292.095,292.095
17050,MS8,109.0,114.3,5341.0,3950.0,111.75,114.5
17051,A105,198.99,255.91,67.0,450.0,199.95,256.0
17051,Ai5013,201.65,252.78,13682.0,10401.0,205.056,253.944
17051,Ai5043,175.77,175.77,9097.0,,179.0,179.0
17051,Cvanu24,199.82,199.82,31837.0,,200.2,200.2
17051,Cvanu7,331.53,344.25,5568.0,1455.0,334.182,346.545
17051,D106,298.92,298.92,17464.0,,301.871,301.871
17051,D107,127.67,268.32,2576.0,786.0,129.22,268.0
17051,D111,150.09,150.09,6003.0,,153.053,153.053
17051,MS1,216.82,216.82,25365.0,,220.143,220.143
17051,MS6,174.0,174.0,32657.0,,176.0,176.0
17051,MS7,290.05,290.05,20374.0,,292.095,292.095
17051,MS8,114.17,114.17,6539.0,,114.5,114.5
17330,A105,255.89,255.89,496.0,,256.0,256.0
17330,Ai5013,220.28,220.28,31495.0,,220.333,220.333
17330,Ai5043,175.95,175.95,16340.0,,179.0,179.0
17330,Cvanu24,199.91,199.91,32360.0,,200.2,200.2
17330,Cvanu7,331.64,331.64,9399.0,,334.182,334.182
17330,D106,294.86,294.86,17247.0,,295.9,295.9
17330,D107,178.59,268.36,612.0,271.0,180.508,268.0
17330,D111,150.19,150.19,5223.0,,153.053,153.053
17330,MS1,216.86,216.86,28794.0,,220.143,220.143
17330,MS6,174.12,174.12,32581.0,,176.0,176.0
17330,MS7,259.08,259.08,19101.0,,259.619,259.619
17330,MS8,109.14,109.14,32241.0,,111.75,111.75
176291,A105,255.87,255.87,152.0,,256.0,256.0
176291,Ai5013,220.34,227.58,1868.0,1971.0,220.333,229.5
176291,Ai5043,175.91,175.91,1138.0,,179.0,179.0
176291,Cvanu24,199.91,199.91,7923.0,,200.2,200.2
176291,Cvanu7,331.58,331.58,401.0,,334.182,334.182
176291,D106,299.03,299.03,1321.0,,301.871,301.871
176291,D107,127.69,174.55,84.0,56.0,129.22,177.492
176291,D107,127.82,170.32,233.0,122.0,129.22,171.458
176291,D111,150.1,157.74,341.0,72.0,153.053,159.158
176291,MS1,216.79,216.79,7004.0,,220.143,220.143
176291,MS6,158.01,174.15,2247.0,2223.0,161.0,176.0
176291,MS7,266.78,290.04,4579.0,4641.0,268.476,292.095
176291,MS8,113.27,114.28,4298.0,3079.0,114.5,114.5
17630,A105,255.77,255.77,49.0,,256.0,256.0
17630,Ai5013,220.3,252.91,5106.0,4769.0,220.333,253.944
17630,Ai5043,175.83,175.83,2038.0,,179.0,179.0
17630,Cvanu24,199.91,199.91,10689.0,,200.2,200.2
17630,Cvanu7,331.59,331.59,1019.0,,334.182,334.182
17630,D106,294.89,298.94,630.0,523.0,295.9,301.871
17630,D107,127.67,249.4,81.0,119.0,129.22,249.898
17630,D107,127.69,170.44,230.0,38.0,129.22,171.458
17630,D111,150.1,157.73,784.0,90.0,153.053,159.158
17630,MS1,216.8,216.8,7436.0,,220.143,220.143
